Datum;Parzelle;Dach;Strom;Dachbauten;Drittelung;Unkraut;Details
15.06.2025;32;24;40625;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;41;24;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Sichtschutz, der nicht aus Pflanzen besteht, ist verboten. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;44;18;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
15.06.2025;33;29;46001;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['In dem Garten lagert Unrat/Müll. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;40;24;31045;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;42;20;69917;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Hecke im Garten ist zu hoch (zulässige Höhe: 120cm). Bitte bis zum 27.07.2025 kürzen.', 'Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte bis zum 27.07.2025 kürzen.', 'Bitte die Parzellennummer sichtbar anbringen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;25;20;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
15.06.2025;21;20;28201;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;24;18;659809;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Anbauflächen wieder kleingärtnerisch nutzen']
15.06.2025;20;35;45988;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;27;24;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;19;15;74143;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Hecke im Garten ist zu hoch (zulässige Höhe: 120cm). Bitte bis zum 27.07.2025 kürzen.', 'Bitte die Parzellennummer sichtbar anbringen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;26;24;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'In dem Garten lagert Unrat/Müll. Bitte bis zum 27.07.2025 entfernen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;18;28;;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
15.06.2025;23;21;58099;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;17;50;;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'In dem Garten lagert Unrat/Müll. Bitte bis zum 27.07.2025 entfernen.', 'Hecke im Garten ist zu hoch (zulässige Höhe: 120cm). Bitte bis zum 27.07.2025 kürzen.', 'Äste, Zweige von Büschen und Bäumen ragen in die Gartenwege bzw. in Nachbargärten. Bitte bis zum 27.07.2025 entfernen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;16;18;68948;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Bitte die Parzellennummer sichtbar anbringen.']
15.06.2025;22;21;7492;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;15;14;91170;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte bis zum 27.07.2025 kürzen.', 'Bitte die Parzellennummer sichtbar anbringen.', 'Bitte Unkraut zu den angrenzenden Gärten entfernen. Die Anbaufläche bitte etwas vergrößern.']
15.06.2025;43;22;42451;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;7;19;6100;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte bis zum 27.07.2025 kürzen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;39;28;;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.', 'Zusätzlich überdachte Fläche muss zurückgebaut werden. ']
15.06.2025;9;22;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Hecke im Garten ist zu hoch (zulässige Höhe: 120cm). Bitte bis zum 27.07.2025 kürzen.', 'Äste, Zweige von Büschen und Bäumen ragen in die Gartenwege bzw. in Nachbargärten. Bitte bis zum 27.07.2025 entfernen.', 'Verwahrlosung des Gartens. Keine gärtnerische Nutzung. Essigbäume und Weissdorn entfernen. Innenhecke aus Kischlorbeer zu hoch. Eiche und Nussbaum entfernen. ']
15.06.2025;9;19;87054;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['In dem Garten lagert Unrat/Müll. Bitte bis zum 27.07.2025 entfernen.', 'Hecke im Garten ist zu hoch (zulässige Höhe: 120cm). Bitte bis zum 27.07.2025 kürzen.', 'Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte bis zum 27.07.2025 kürzen.', 'Äste, Zweige von Büschen und Bäumen ragen in die Gartenwege bzw. in Nachbargärten. Bitte bis zum 27.07.2025 entfernen.', 'Der Garten enthält kranke Gehölze/Bäume. Bitte bis zum 27.07.2025 entfernen.', 'Keine kleingärtnerische Nutzung erkennbar, der Garten ist verwahrlost. Viel Unrat, Müll und Schnittgut. Essigbäume und Sträucher an den Grenzen zu entfernen. Nussbaum neben dem Schuppen zu entfernen. ']
15.06.2025;10;34;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
